id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,ath,ath_change_percentage,volatility_score,vol_mcap_ratio,market_cap_group
bitcoin,btc,Bitcoin,95891.0,1912840990676,50152929716.0,96431.0,94971.0,-0.14149,126080.0,-23.93852,0.14149,0.026219079348710476,Mega
ethereum,eth,Ethereum,3207.7,387113285496,18431098022.0,3226.48,3136.52,1.18391,4946.05,-35.17795,1.18391,0.04761163905388736,Mega
tether,usdt,Tether,0.999461,183943854880,63331168642.0,0.999954,0.999223,-0.00853,1.32,-24.44455,0.00853,0.344296191266164,Mega
ripple,xrp,XRP,2.26,135752151598,2972750233.0,2.29,2.2,-0.98026,3.65,-38.0913,0.98026,0.021898365499230854,Mega
binancecoin,bnb,BNB,943.34,129982280155,1265829806.0,944.2,922.99,1.57554,1369.99,-31.14035,1.57554,0.009738479771939187,Mega
solana,sol,Solana,141.59,78487308913,3450969244.0,143.26,137.97,-0.82635,293.31,-51.65563,0.82635,0.04396850002623048,Mega
usd-coin,usdc,USDC,0.999774,74910583414,7325077706.0,0.999833,0.99969,0.00202,1.17,-14.74728,0.00202,0.0977842832369534,Mega
tron,trx,TRON,0.296527,28103506718,540823383.0,0.297071,0.29111,0.87695,0.431288,-31.14216,0.87695,0.01924398219862037,Mega
staked-ether,steth,Lido Staked Ether,3206.44,27715590210,98506166.0,3225.2,3138.4,1.24924,4932.89,-34.99489,1.24924,0.0035541789026905953,Mega
dogecoin,doge,Dogecoin,0.163744,24855608576,1159116152.0,0.164211,0.160595,0.60265,0.731578,-77.60989,0.60265,0.04663398799734945,Mega
cardano,ada,Cardano,0.504662,18502858386,868891925.0,0.514398,0.494949,-0.60315,3.09,-83.64729,0.60315,0.046959875435107816,Mega
figure-heloc,figr_heloc,Figure Heloc,1.027,13984297001,109521577.0,1.037,1.027,-0.85971,1.37,-25.04836,0.85971,0.007831754216330521,Mega
wrapped-steth,wsteth,Wrapped stETH,3906.81,12854383088,11971090.0,3926.69,3827.21,1.06278,7256.02,-46.14869,1.06278,0.0009312846768333375,Mega
wrapped-bitcoin,wbtc,Wrapped Bitcoin,95829.0,12159620374,229022164.0,96258.0,94703.0,-0.17197,125932.0,-23.85922,0.17197,0.018834647542920076,Mega
whitebit,wbt,WhiteBIT Coin,53.11,11410344245,73914226.0,53.32,52.49,0.18848,55.79,-4.73742,0.18848,0.006477826121012005,Mega
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3474.37,11326855511,12661052.0,3494.04,3396.99,1.28713,5330.78,-34.89764,1.28713,0.0011177905454611216,Mega
zcash,zec,Zcash,681.69,11154261564,2580969430.0,720.99,629.92,-1.3547,3191.93,-78.744,1.3547,0.23138864147941368,Mega
hyperliquid,hype,Hyperliquid,38.92,10543726729,223461021.0,39.36,38.16,1.22571,59.3,-34.36314,1.22571,0.021193741714244308,Mega
bitcoin-cash,bch,Bitcoin Cash,502.2,10023075862,247614615.0,515.57,491.14,1.09959,3785.82,-86.73399,1.09959,0.024704453843232818,Mega
chainlink,link,Chainlink,14.24,9928854877,445377798.0,14.31,13.85,0.79039,52.7,-72.98067,0.79039,0.04485691487260118,Mega
usds,usds,USDS,0.999924,9246229842,3272233.0,1.001,0.999016,0.00713,1.057,-5.42879,0.00713,0.0003538991627848396,Mega
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999162,8977068519,1391765954.0,1.001,0.996721,-0.01969,1.05,-4.84237,0.01969,0.1550356835368163,Mega
leo-token,leo,LEO Token,9.14,8432117456,812402.0,9.24,8.86,-0.69774,10.14,-9.82144,0.69774,9.63461436868296e-05,Mega
stellar,xlm,Stellar,0.26234,8429727461,111682188.0,0.26575,0.256143,-0.95352,0.875563,-70.02767,0.95352,0.013248611952960029,Mega
wrapped-eeth,weeth,Wrapped eETH,3468.18,8353745742,18573674.0,3487.66,3391.64,1.24888,5296.78,-34.53479,1.24888,0.0022233946990530755,Mega
ethena-usde,usde,Ethena USDe,0.998651,8021805441,108342601.0,0.999269,0.998057,0.02161,1.032,-3.23584,0.02161,0.013506012056369941,Large
weth,weth,WETH,3207.25,7986464493,127521611.0,3226.96,3134.48,1.20345,4950.08,-35.20412,1.20345,0.01596721692205237,Large
monero,xmr,Monero,429.06,7902067814,258387529.0,437.38,410.37,3.02635,542.33,-21.17886,3.02635,0.032698723306603096,Large
litecoin,ltc,Litecoin,102.16,7818227943,949363204.0,108.93,100.21,-1.15945,410.26,-75.06898,1.15945,0.12142946086011808,Large
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,95923.0,7087660184,332937003.0,96414.0,95008.0,-0.09141,125954.0,-23.87493,0.09141,0.04697417685904113,Large
avalanche-2,avax,Avalanche,15.73,6745591247,261900253.0,15.75,15.32,1.0006,144.96,-89.14332,1.0006,0.03882539623438882,Large
hedera-hashgraph,hbar,Hedera,0.154596,6570270146,186761319.0,0.158275,0.152568,-1.80812,0.569229,-72.81544,1.80812,0.02842521157424567,Large
sui,sui,Sui,1.77,6509549941,613413490.0,1.8,1.73,-1.13821,5.35,-66.91319,1.13821,0.09423285719592576,Large
shiba-inu,shib,Shiba Inu,9.19e-06,5416541805,115372374.0,9.25e-06,8.95e-06,-0.06732,8.616e-05,-89.33096,0.06732,0.021300006194635103,Large
uniswap,uni,Uniswap,7.53,4744914323,425130351.0,7.61,7.24,1.66342,44.92,-83.30349,1.66342,0.08959705530177178,Large
polkadot,dot,Polkadot,2.87,4704144938,189967167.0,2.94,2.8,-0.15853,54.98,-94.76976,0.15853,0.04038293239339812,Large
the-open-network,ton,Toncoin,1.86,4620294071,124642163.0,1.89,1.81,0.4543,8.25,-77.47881,0.4543,0.02697710602066134,Large
dai,dai,Dai,0.999304,4539396753,73332449.0,1.001,0.99855,-0.13959,1.22,-18.00598,0.13959,0.016154668338152198,Large
ethena-staked-usde,susde,Ethena Staked USDe,1.2,4463733448,128190843.0,1.2,1.2,0.00629,1.29,-6.78876,0.00629,0.028718301505533804,Large
crypto-com-chain,cro,Cronos,0.115297,4166022127,21164353.0,0.116828,0.113012,-0.54132,0.965407,-88.05878,0.54132,0.005080230578429667,Large
usdt0,usdt0,USDT0,0.999382,4115845618,175346816.0,1.0,0.99826,-0.04111,1.052,-5.00513,0.04111,0.04260286518841922,Large
world-liberty-financial,wlfi,World Liberty Financial,0.146227,3979956729,138754266.0,0.14855,0.137496,1.40728,0.331336,-55.87138,1.40728,0.03486325994173893,Large
mantle,mnt,Mantle,1.22,3961648695,59045344.0,1.22,1.18,1.67031,2.86,-57.3462,1.67031,0.014904235217656017,Large
